145;3346d0;\x25\xf0\x3f\xff\x0f;and eax, 0xfff3ff0
146;3346d5;\x3d\x70\x06\x03\x00;cmp eax, 0x30670
147;3346da;\x75\x0f;jnz 0x3346eb
148;3346eb;\xba\x04\x00\x00\x00;mov edx, 0x4
149;3346f0;\x6b\xc2\x03;imul eax, edx, 0x3
150;3346f3;\xb9\x04\x00\x00\x00;mov ecx, 0x4
151;3346f8;\x6b\xd1\x00;imul edx, ecx, 0x0
152;3346fb;\x8b\x44\x05\xe0;mov eax, dword ptr [ebp+eax*1-0x20]
153;3346ff;\x89\x44\x15\xf0;mov dword ptr [ebp+edx*1-0x10], eax
154;334703;\xb9\x04\x00\x00\x00;mov ecx, 0x4
155;334708;\xd1\xe1;shl ecx, 0x1
156;33470a;\xba\x04\x00\x00\x00;mov edx, 0x4
157;33470f;\xc1\xe2\x00;shl edx, 0x0
158;334712;\x8b\x44\x0d\xe0;mov eax, dword ptr [ebp+ecx*1-0x20]
159;334716;\x89\x44\x15\xf0;mov dword ptr [ebp+edx*1-0x10], eax
160;33471a;\x83\x7d\xd0\x07;cmp dword ptr [ebp-0x30], 0x7
161;33471e;\x7c\x4f;jl 0x33476f
162;334720;\x8d\x75\xe0;lea esi, ptr [ebp-0x20]
163;334723;\xb8\x07\x00\x00\x00;mov eax, 0x7
164;334728;\x33\xc9;xor ecx, ecx
165;33472a;\x0f\xa2;cpuid 
166;33472c;\x89\x06;mov dword ptr [esi], eax
167;33472e;\x89\x5e\x04;mov dword ptr [esi+0x4], ebx
168;334731;\x89\x4e\x08;mov dword ptr [esi+0x8], ecx
169;334734;\x89\x56\x0c;mov dword ptr [esi+0xc], edx
170;334737;\xb9\x04\x00\x00\x00;mov ecx, 0x4
171;33473c;\xc1\xe1\x00;shl ecx, 0x0
172;33473f;\xba\x04\x00\x00\x00;mov edx, 0x4
173;334744;\xd1\xe2;shl edx, 0x1
174;334746;\x8b\x44\x0d\xe0;mov eax, dword ptr [ebp+ecx*1-0x20]
