156;19470a;\xba\x04\x00\x00\x00;mov edx, 0x4
157;19470f;\xc1\xe2\x00;shl edx, 0x0
158;194712;\x8b\x44\x0d\xe0;mov eax, dword ptr [ebp+ecx*1-0x20]
159;194716;\x89\x44\x15\xf0;mov dword ptr [ebp+edx*1-0x10], eax
160;19471a;\x83\x7d\xd0\x07;cmp dword ptr [ebp-0x30], 0x7
161;19471e;\x7c\x4f;jl 0x19476f
162;194720;\x8d\x75\xe0;lea esi, ptr [ebp-0x20]
163;194723;\xb8\x07\x00\x00\x00;mov eax, 0x7
164;194728;\x33\xc9;xor ecx, ecx
165;19472a;\x0f\xa2;cpuid 
166;19472c;\x89\x06;mov dword ptr [esi], eax
167;19472e;\x89\x5e\x04;mov dword ptr [esi+0x4], ebx
168;194731;\x89\x4e\x08;mov dword ptr [esi+0x8], ecx
169;194734;\x89\x56\x0c;mov dword ptr [esi+0xc], edx
170;194737;\xb9\x04\x00\x00\x00;mov ecx, 0x4
171;19473c;\xc1\xe1\x00;shl ecx, 0x0
172;19473f;\xba\x04\x00\x00\x00;mov edx, 0x4
173;194744;\xd1\xe2;shl edx, 0x1
174;194746;\x8b\x44\x0d\xe0;mov eax, dword ptr [ebp+ecx*1-0x20]
175;19474a;\x89\x44\x15\xf0;mov dword ptr [ebp+edx*1-0x10], eax
176;19474e;\xb9\x04\x00\x00\x00;mov ecx, 0x4
177;194753;\xc1\xe1\x00;shl ecx, 0x0
178;194756;\x8b\x54\x0d\xe0;mov edx, dword ptr [ebp+ecx*1-0x20]
179;19475a;\x81\xe2\x00\x02\x00\x00;and edx, 0x200
180;194760;\x74\x0d;jz 0x19476f
181;194762;\xa1\xac\x91\x19\x00;mov eax, dword ptr [0x1991ac]
182;194767;\x83\xc8\x02;or eax, 0x2
183;19476a;\xa3\xac\x91\x19\x00;mov dword ptr [0x1991ac], eax
184;19476f;\xb9\x04\x00\x00\x00;mov ecx, 0x4
185;194774;\xc1\xe1\x00;shl ecx, 0x0
186;194777;\x8b\x54\x0d\xf0;mov edx, dword ptr [ebp+ecx*1-0x10]
187;19477b;\x81\xe2\x00\x00\x10\x00;and edx, 0x100000
188;194781;\x0f\x84\xaa\x00\x00\x00;jz 0x194831
189;194787;\xc7\x05\xa8\x91\x19\x00\x02\x00\x00\x00;mov dword ptr [0x1991a8], 0x2
190;194791;\xa1\x2c\x90\x19\x00;mov eax, dword ptr [0x19902c]
191;194796;\x83\xc8\x04;or eax, 0x4
192;194799;\xa3\x2c\x90\x19\x00;mov dword ptr [0x19902c], eax
193;19479e;\xb9\x04\x00\x00\x00;mov ecx, 0x4
194;1947a3;\xc1\xe1\x00;shl ecx, 0x0
195;1947a6;\x8b\x54\x0d\xf0;mov edx, dword ptr [ebp+ecx*1-0x10]
196;1947aa;\x81\xe2\x00\x00\x00\x08;and edx, 0x8000000
197;1947b0;\x74\x7f;jz 0x194831
198;1947b2;\xb8\x04\x00\x00\x00;mov eax, 0x4
199;1947b7;\xc1\xe0\x00;shl eax, 0x0
200;1947ba;\x8b\x4c\x05\xf0;mov ecx, dword ptr [ebp+eax*1-0x10]
201;1947be;\x81\xe1\x00\x00\x00\x10;and ecx, 0x10000000
202;1947c4;\x74\x6b;jz 0x194831
203;1947c6;\x33\xc9;xor ecx, ecx
204;1947c8;\x0f\x01\xd0;xgetbv 
205;1947cb;\x89\x45\xc8;mov dword ptr [ebp-0x38], eax
206;1947ce;\x89\x55\xcc;mov dword ptr [ebp-0x34], edx
207;1947d1;\x8b\x55\xc8;mov edx, dword ptr [ebp-0x38]
208;1947d4;\x8b\x45\xcc;mov eax, dword ptr [ebp-0x34]
209;1947d7;\x83\xe2\x06;and edx, 0x6
210;1947da;\x83\xe0\x00;and eax, 0x0
211;1947dd;\x89\x55\xc0;mov dword ptr [ebp-0x40], edx
212;1947e0;\x89\x45\xc4;mov dword ptr [ebp-0x3c], eax
213;1947e3;\x83\x7d\xc0\x06;cmp dword ptr [ebp-0x40], 0x6
214;1947e7;\x75\x48;jnz 0x194831
215;1947e9;\x83\x7d\xc4\x00;cmp dword ptr [ebp-0x3c], 0x0
216;1947ed;\x75\x42;jnz 0x194831
217;1947ef;\xc7\x05\xa8\x91\x19\x00\x03\x00\x00\x00;mov dword ptr [0x1991a8], 0x3
218;1947f9;\x8b\x0d\x2c\x90\x19\x00;mov ecx, dword ptr [0x19902c]
219;1947ff;\x83\xc9\x08;or ecx, 0x8
220;194802;\x89\x0d\x2c\x90\x19\x00;mov dword ptr [0x19902c], ecx
221;194808;\xba\x04\x00\x00\x00;mov edx, 0x4
222;19480d;\xd1\xe2;shl edx, 0x1
223;19480f;\x8b\x44\x15\xf0;mov eax, dword ptr [ebp+edx*1-0x10]
224;194813;\x83\xe0\x20;and eax, 0x20
225;194816;\x74\x19;jz 0x194831
226;194818;\xc7\x05\xa8\x91\x19\x00\x05\x00\x00\x00;mov dword ptr [0x1991a8], 0x5
227;194822;\x8b\x0d\x2c\x90\x19\x00;mov ecx, dword ptr [0x19902c]
228;194828;\x83\xc9\x20;or ecx, 0x20
229;19482b;\x89\x0d\x2c\x90\x19\x00;mov dword ptr [0x19902c], ecx
230;194831;\x33\xc0;xor eax, eax
231;194833;\x5e;pop esi
232;194834;\x5b;pop ebx
233;194835;\x8b\x4d\xfc;mov ecx, dword ptr [ebp-0x4]
234;194838;\x33\xcd;xor ecx, ebp
235;19483a;\xe8\x32\xca\xff\xff;call 0x191271
236;191271;\xe9\xda\x32\x00\x00;jmp 0x194550
237;194550;\x3b\x0d\x24\x90\x19\x00;cmp ecx, dword ptr [0x199024]
238;194556;\xf2\x75\x02;bnd jnz 0x19455b
239;194559;\xf2\xc3;bnd ret 
240;19483f;\x8b\xe5;mov esp, ebp
241;194841;\x5d;pop ebp
242;194842;\xc3;ret 
243;192ff5;\xe8\x1d\xe2\xff\xff;call 0x191217
244;191217;\xe9\x04\x3d\x00\x00;jmp 0x194f20
245;194f20;\x55;push ebp
246;194f21;\x8b\xec;mov ebp, esp
247;194f23;\xb0\x01;mov al, 0x1
248;194f25;\x5d;pop ebp
249;194f26;\xc3;ret 
250;192ffa;\x0f\xb6\xc0;movzx eax, al
251;192ffd;\x85\xc0;test eax, eax
252;192fff;\x75\x04;jnz 0x193005
253;193005;\xe8\x19\xe0\xff\xff;call 0x191023
254;191023;\xe9\xf8\x3e\x00\x00;jmp 0x194f20
255;194f20;\x55;push ebp
256;194f21;\x8b\xec;mov ebp, esp
257;194f23;\xb0\x01;mov al, 0x1
258;194f25;\x5d;pop ebp
259;194f26;\xc3;ret 
260;19300a;\x0f\xb6\xc8;movzx ecx, al
261;19300d;\x85\xc9;test ecx, ecx
262;19300f;\x75\x0e;jnz 0x19301f
263;19301f;\xb0\x01;mov al, 0x1
264;193021;\x5d;pop ebp
265;193022;\xc3;ret 
266;191eba;\x83\xc4\x04;add esp, 0x4
267;191ebd;\x0f\xb6\xc0;movzx eax, al
268;191ec0;\x85\xc0;test eax, eax
269;191ec2;\x75\x07;jnz 0x191ecb
270;191ecb;\xc6\x45\xe7\x00;mov byte ptr [ebp-0x19], 0x0
